label,date,season,lon,lat,TP_mm,RNE,Tmean,Tmax,Tmin,RH,EH,WSPD,pDWI,DWI_by_month,DWI,FMI,DEM,Slope,TMI,day_weight,FFDRI,FRI_norm,FRI_grade,range,is_coastal,zone
1,2015-02-06,spring,128.4048379,36.30800959,0.047145795,1,0.326968337,5.496775911,-2.475429675,67.47946983,67.47946983,1.897198079,0.093554143,1,1,10,271.0395992,15.4401081,14.39140977,0.85,37.04904746,0.221146962,Low,≤0.50,0,내륙
0,2015-02-06,spring,128.3712585,36.20494805,0.039829004,1,0.409824194,5.596398312,-2.452167469,66.83407152,66.83407152,1.84129248,0.099206818,1,1,10,63.12055738,7.870430964,13.8557711,0.85,36.36610815,0.21344614,Low,≤0.50,0,내륙
1,2015-02-07,spring,129.0486085,36.59247684,0.072354114,1,-0.52132662,3.718820375,-8.392571002,58.25060321,58.25060321,4.048041652,0.126608176,2,2,10,301.5775646,19.53890606,13.09770843,0.85,41.34957825,0.26963974,Low,≤0.50,1,해안권
0,2015-02-07,spring,128.8959035,36.54194752,0.116334346,1,-0.358639887,3.913300686,-8.384360049,57.78299609,57.78299609,3.904727157,0.134377621,2,2,0,171.3319439,8.044888847,26.15597177,0.85,45.24886401,0.31360808,Low,≤0.50,0,내륙
0,2015-02-07,spring,128.8610494,36.59787877,0.094491777,1,-0.461561335,3.838271591,-8.532424155,56.95231843,56.95231843,3.772722604,0.142965346,2,2,10,161.6972129,4.97593216,14.13696318,0.85,42.67462805,0.284580999,Low,≤0.50,0,내륙
1,2015-02-09,spring,129.2074567,36.5667914,0.19849443,1,-3.827299081,-1.98897087,-10.56921596,48.28636718,48.28636718,5.493450868,0.141039255,2,2,0,503.1446172,14.89643278,13.33139914,0.85,28.8975339,0.12923051,Low,≤0.50,1,해안권
0,2015-02-09,spring,129.1383705,36.44960908,0.184022951,1,-3.842104825,-2.153259886,-10.55476704,48.35208091,48.35208091,5.638538351,0.136890862,2,2,2,624.8858652,27.25653587,13.3196602,0.85,31.43256676,0.157815536,Low,≤0.50,1,해안권
1,2015-02-10,spring,128.391712,35.75743988,0.024236454,1,1.474568677,8.040004764,-2.722052018,67.26126899,67.26126899,2.041869007,0.114536982,1,1,3,22.73040414,4.978342798,15.13098069,0.85,29.06700038,0.131141413,Low,≤0.50,0,내륙
1,2015-02-10,spring,128.7682211,35.93580353,0.010313796,1,1.50529094,7.68258221,-2.458127675,66.1299973,66.1299973,2.695978496,0.113401831,1,1,0,420.886911,21.18597472,13.28613634,0.85,22.88982383,0.061487581,Low,≤0.50,0,내륙
0,2015-02-10,spring,128.4678793,35.59826767,0.005154591,1,1.107768337,8.196308062,-3.439051989,65.523284,65.523284,2.093615402,0.129964006,2,2,0,42.05397489,5.979543457,13.62533261,0.85,29.27229908,0.133456361,Low,≤0.50,0,내륙
0,2015-02-10,spring,128.2390801,35.72538533,0.060577474,1,1.274585199,7.380537099,-2.721888013,68.18978139,68.18978139,2.057022794,0.101812491,1,1,0,170.9577874,19.91057586,13.87236082,0.85,23.63726005,0.069915671,Low,≤0.50,0,내륙
0,2015-02-10,spring,128.1826234,35.73827284,0.105462474,1,0.889327427,6.508386512,-2.742545637,68.96794898,68.96794898,2.149479488,0.089129702,1,1,10,419.0018252,20.07910752,13.22731949,0.85,35.56483235,0.204410955,Low,≤0.50,0,내륙
0,2015-02-10,spring,128.7569937,36.03287487,0.020722733,1,1.298694314,6.846562291,-2.424904348,67.3372208,67.3372208,2.776331632,0.096865836,1,1,10,329.0353793,22.61898299,16.2579692,0.85,39.42891073,0.247982296,Low,≤0.50,0,내륙
0,2015-02-10,spring,128.8138909,36.08444882,0.026971483,1,1.399855241,6.49121463,-1.878578748,67.9982242,67.9982242,2.995608323,0.088010057,1,1,10,581.0835728,23.77966857,13.02849032,0.85,35.31132516,0.201552409,Low,≤0.50,0,내륙
0,2015-02-10,spring,128.8683179,35.99189539,0.013070281,1,1.636573343,7.503289826,-2.242318285,66.5291832,66.5291832,2.930826538,0.106424716,1,1,2,114.0502582,8.384334435,14.79695642,0.85,27.36611944,0.111962283,Low,≤0.50,0,내륙
